model_name,project,layer,issue,severity,recommendation
mart_parcel_performance,pargo_dbt,mart,No materialization config — inherits default (table). cluster_by=['LOAD_YEAR' COMMA 'PROVINCE'] is defined but LOAD_YEAR is not a column on stg_parcels in dbt_pargo (it appears to be a pargo_dbt-specific computed column). Cross-project column dependency creates schema drift risk.,MEDIUM,"Add explicit `{{ config(materialized='table') }}` with documentation. Confirm LOAD_YEAR is computed in the pargo_dbt version of stg_parcels (not dbt_pargo). The two stg_parcels definitions are out of sync — consolidate to one canonical staging project."
mart_daily_ops,pargo_dbt,mart,LEFT JOIN on returns uses `EVENT_DATE` (parcel creation date) as the join key to returns `EVENT_DATE` (return_initiated_at date). These are different business dates — joining on creation date to return date mis-attributes returns to the wrong day.,MEDIUM,"Add a daily returns CTE that groups by `to_date(RETURN_INITIATED_AT)` and join on `p.EVENT_DATE = r.EVENT_DATE` only if the intent is same-day reporting. Otherwise carry returns as a separate grain and do not join to the parcels daily aggregation."
_sources.yml,dbt_pargo,documentation,Source tables retailers COMMA customers COMMA couriers COMMA orders COMMA pickup_points COMMA and returns have no column-level descriptions. Only parcels and tracking_events have table-level descriptions. Incomplete source documentation.,LOW,Add at minimum table-level descriptions for the 6 undocumented source tables. Add column descriptions for primary keys and key business attributes on parcels and tracking_events.
_core__models.yml,dbt_pargo,documentation,Column descriptions are absent from all models. Only PK uniqueness/not_null tests and a few accepted_values tests are present. A reviewer cannot understand column semantics from the YAML alone.,LOW,"Add description fields to at minimum: fct_parcels (delivery_hours COMMA dwell_hours COMMA sla_met COMMA billed_rate_zar) and dim_retailer (valid_from COMMA valid_to COMMA is_current COMMA rate_per_parcel_zar)."
pargo_dbt (all models),pargo_dbt,documentation,No schema.yml exists anywhere in the pargo_dbt project. Zero column tests COMMA zero model descriptions COMMA zero source tests. The project is entirely undocumented.,MEDIUM,"Add at minimum one schema.yml per mart layer with: unique+not_null on primary keys COMMA accepted_values on status columns COMMA and one-line model descriptions. Without this dbt docs generate produces empty pages."
mart_retailer_performance,dbt_pargo,mart/finance,No schema.yml / no tests in the finance marts folder. The revenue_rank window function and return_rate KPIs are unvalidated.,LOW,Add _finance__models.yml with not_null on month+retailer_id composite grain and expression_is_true for `sla_achievement between 0 and 1`.
fct_point_utilization_daily,dbt_pargo,mart/operations,No schema.yml / no tests in the operations marts folder. capacity_utilization can exceed 1.0 (over-capacity points) and this is never tested or flagged.,LOW,Add _operations__models.yml. Add expression_is_true test: `capacity_utilization >= 0` (nullif already handles div-by-zero). Flag over-capacity rows with a warn-severity expression_is_true for `capacity_utilization <= 2`.
dim_date,dbt_pargo,mart/core,date_spine end_date is `dateadd(year COMMA 1 COMMA current_date)` — computed at model run time. If the project is not run for >1 year COMMA future date_keys will be missing and fct_parcels date FK joins will break.,LOW,Change to a fixed future date (e.g. 2030-12-31) or parameterise via a `calendar_end_date` var so the spine does not silently shrink.
feat_courier_reliability,pargo_dbt,ml_features,Uses INNER JOIN couriers to parcels — couriers with zero deliveries in a period are excluded. This means new couriers are invisible in the reliability model until they have at least one delivery.,LOW,Change to `left join parcels p on c.COURIER_ID = p.COURIER_ID` and handle NULL counts with coalesce(count(*) COMMA 0). New couriers should appear with 0 deliveries not be absent.
stg_orders,dbt_pargo,staging,No tests at all on the orders staging model. order_id uniqueness is never validated despite orders being a FK on stg_parcels.,LOW,Add source tests for orders: unique + not_null on order_id in _sources.yml.
chartMlAuc,pargo_dashboard,ml_visualization,"ROC-AUC bar chart includes SVM (LinearSVC) with value 0.65 plotted as ROC-AUC. LinearSVC has no predict_proba so AUC is not computable — the 0.65 value is the F1 score from model_results.json (rts_SVM.f1=0.6533). Metric type is wrong.",MEDIUM,"Replace SVM with DecisionTree in the bar chart: labels=['Logistic Reg','Random Forest','XGBoost','LightGBM','MLP','Decision Tree','Ensemble'] and data=[0.81,0.80,0.81,0.81,0.81,0.78,0.81]. This removes the F1-masquerading-as-AUC entry and adds the omitted DecisionTree."
chartMlAuc,pargo_dashboard,ml_visualization,"MLP ROC-AUC displayed as 0.80 in bar chart but model_results.json records rts_MLP.auc=0.8059 which rounds to 0.81. One-digit rounding error depresses the displayed metric.",LOW,"Change data[4] from 0.80 to 0.81 in the chartMlAuc datasets array (fixed by the SVM→DecisionTree swap above if also correcting index 4)."
chartMlAuc,pargo_dashboard,ml_visualization,"DecisionTree is absent from the 7-model ROC-AUC bar chart despite rts_DecisionTree.auc=0.7817 in model_results.json. Its slot is occupied by SVM which cannot produce an AUC score.",MEDIUM,"Add 'Decision Tree' to bar chart labels and 0.78 to data (remove SVM). Covered by the SVM-swap fix on chartMlAuc."
mlModels_array,pargo_dashboard,ml_inventory,"Logistic Regression AUC is 0.71 in the ML inventory table but 0.81 in the ROC-AUC bar chart and 0.8076 in model_results.json. Three-way inconsistency — the table value was entered manually and incorrectly. Understates model performance by 10 AUC points.",HIGH,"Change mlModels[0] score from '0.71' to '0.81'. Root value from model_results.json rts_LogisticRegression.auc=0.8076."
mlModels_array,pargo_dashboard,ml_inventory,"Random Forest AUC is 0.82 in the inventory table but 0.80 in the bar chart and 0.795 in model_results.json. Table value is inflated relative to both other sources.",HIGH,"Change mlModels[1] score from '0.82' to '0.80'. Root value from model_results.json rts_RandomForest.auc=0.795."
mlModels_array,pargo_dashboard,ml_inventory,"K-Means Silhouette shown as 0.68 in the Customer LTV row but model_results.json records seg_KMeans5.silhouette=0.1712. A silhouette of 0.68 on 5 clusters of synthetic tabular data would be exceptional and is not plausible — this is a placeholder value never updated from the saved artifact.",HIGH,"Change Customer LTV row score from '0.68' to '0.17'. Silhouette of 0.17 indicates weak natural separation as expected for synthetically generated customer data."
mlModels_array,pargo_dashboard,ml_inventory,"Naive Bayes Accuracy shown as 0.73 but model_results.json records cls_NaiveBayes.accuracy=0.8755. Understates accuracy by 15pp — likely a stale manual entry.",HIGH,"Change Return Reason row score from '0.73' to '0.88'."
mlModels_array,pargo_dashboard,ml_inventory,"SVM row mislabeled as 'Courier Score — Multiclass: tier — F1 Macro 0.76'. train_all_models.py lines 502-511 trains LinearSVC for binary RTS classification only — no courier-tier multiclass SVM exists anywhere in the pipeline. F1 from model_results.json is 0.6533 not 0.76. Both the task description and the score are fabricated.",HIGH,"Change row to ['RTS Risk SVM','Linear SVC','Binary: RTS','8','F1','0.65','Production']. The SVM is an RTS binary classifier with F1=0.65."
mlModels_array,pargo_dashboard,ml_inventory,"MLP row labeled 'Delay Pred — Multiclass: delay band — F1 Macro 0.74'. train_all_models.py lines 474-499 trains MLPClassifier for binary RTS prediction (not delay bands) with auc=0.8059. No multiclass delay prediction MLP exists. The task description and metric are both wrong.",HIGH,"Change row to ['RTS Risk MLP','MLP Neural Net','Binary: RTS','13','ROC-AUC','0.81','Production']."
mlModels_array,pargo_dashboard,ml_inventory,"DecisionTree row labeled 'SLA Breach — Binary: breach — F1 0.77'. train_all_models.py lines 398-424 trains DecisionTreeClassifier for binary RTS classification with auc=0.7817. No SLA breach decision tree exists — the DecisionTree is a third RTS classifier. F1=0.77 is unsupported by model_results.json.",HIGH,"Change row to ['RTS Risk DT','Decision Tree','Binary: RTS','13','ROC-AUC','0.78','Production']."
mlModels_array,pargo_dashboard,ml_inventory,"Phantom model row 'Value Fraud — Autoencoder — AUC 0.83'. No autoencoder appears in train_all_models.py or any other training script. No artifact file matches. The MLPRegressor (reg_MLP) trained in train_all_models.py lines 551-556 is the only model missing from the 15-model inventory.",HIGH,"Replace the Autoencoder row with ['Delivery Time MLP','MLP Regressor','Regression: hours','7','MAE','21.9h','Staging'] to account for the real reg_MLP model and remove the phantom entry."
mlModels_array,pargo_dashboard,ml_inventory,"Isolation Forest row shows metric='F1' score='0.81'. train_all_models.py lines 623-658 stores only anomaly_pct in RESULTS — no F1 is ever computed for this unsupervised model. model_results.json records anom_IsolationForest.anomaly_pct=5.0. The F1=0.81 is fabricated.",MEDIUM,"Change metric to 'Anomaly %' and score to '5.0%' in the Anomaly Det. row."
README.md,pargo_portfolio,documentation,"README Dashboard Tabs section lists six tabs as: Overview / RTS Analysis / Carrier Performance / Customer Segments / ML Models / Business Case. Actual dashboard tabs are: Overview / Operations / Retailers / SLA / ML Models / Architecture. Five of the six tab names are wrong — a reviewer clicking through the dashboard will find none of the described tabs.",MEDIUM,"Update README Dashboard Tabs section to: 1.Overview 2.Operations 3.Retailers 4.SLA 5.ML Models 6.Architecture."
README.md,pargo_portfolio,documentation,"README Key Numbers table shows 'R10.1M projected RTS cost saving' but no Business Case or ROI tab exists in the dashboard to substantiate this figure. The calculation is not visible in any dashboard tab or Excel sheet referenced.",MEDIUM,"Either add a Business Case / ROI calculation tab to the dashboard or annotate the R10.1M figure with a link to the Excel sheet or notebook where the projection is derived. Without supporting detail this metric cannot be validated by a reviewer."
model_results.json,pargo_ml_pipeline,model_registry,"Key 'ts_ARIMA' is misleading — the actual algorithm used is Holt-Winters ExponentialSmoothing from statsmodels (train_all_models.py line 715-722). The function comment labels it 'ARIMA proxy' but the model is not ARIMA. Dashboard table correctly shows 'Holt-Winters' creating a discrepancy between the JSON key and the displayed algorithm name.",LOW,"Rename key from 'ts_ARIMA' to 'ts_HoltWinters' in model_results.json. Update RESULTS assignment in train_all_models.py line 722 to match."
